nba_id,Team,Player,DPM_rank,EPM_rank,LEBRON_rank,consensus_rank,salary,cap_pct,Callouts,Unsigned
203994,Charlotte Hornets,Jusuf Nurkic,92,259,138,163,18125000,0.1289,,
1630560,Brooklyn Nets,Cam Thomas,190,73,233,165.3333333,4041249,0.0287,,
1630194,Detroit Pistons,Paul Reed,108,147,241,165.3333333,1427671,0.0102,,
1628989,Chicago Bulls,Kevin Huerter,153,202,145,166.6666667,16830357,0.1197,,
1630175,Orlando Magic,Cole Anthony,139,206,167,170.6666667,12900000,0.0918,,
1630171,Cleveland Cavaliers,Isaac Okoro,127,140,248,171.6666667,10185185,0.0724,,
202696,Chicago Bulls,Nikola Vucevic,417,54,49,173.3333333,20000000,0.1423,,
1631095,Houston Rockets,Jabari Smith Jr.,188,180,153,173.6666667,9770880,0.0695,Y,
1629018,Milwaukee Bucks,Gary Trent Jr.,176,196,149,173.6666667,2087519,0.0148,,
1629011,New York Knicks,Mitchell Robinson,31,171,325,175.6666667,14318182,0.1018,,
1627741,Golden State Warriors,Buddy Hield,151,255,123,176.3333333,8780488,0.0625,,
1628960,Phoenix Suns,Grayson Allen,131,251,148,176.6666667,15625000,0.1111,,
1629057,Portland Trail Blazers,Robert Williams III,57,207,270,178,12428571,0.0884,,
1630200,Chicago Bulls,Tre Jones,129,200,206,178.3333333,9104167,0.0648,,
203991,Atlanta Hawks,Clint Capela,166,216,154,178.6666667,22265280,0.1584,,
1630572,San Antonio Spurs,Sandro Mamukelashvili,132,201,207,180,2087519,0.0148,,
1629637,Los Angeles Lakers,Jaxson Hayes,212,157,180,183,2463946,0.0175,,
1629645,Milwaukee Bucks,Kevin Porter Jr.,163,274,117,184.6666667,2237691,0.0159,,
1631243,Atlanta Hawks,Mouhamed Gueye,227,102,226,185,1891858,0.0135,,
1626220,Phoenix Suns,Royce O'Neale,264,194,99,185.6666667,9821429,0.0699,,
1630643,Memphis Grizzlies,Jay Huff,189,179,193,187,2088033,0.0149,,
1626158,Washington Wizards,Richaun Holmes,93,215,255,187.6666667,12648321,0.0900,,
204456,Indiana Pacers,T.J. McConnell,201,239,124,188,9300000,0.0662,,
202691,Dallas Mavericks,Klay Thompson,235,148,186,189.6666667,15873016,0.1129,,
202692,Miami Heat,Alec Burks,183,151,235,189.6666667,2087519,0.0148,,
1629656,Philadelphia 76ers,Quentin Grimes,211,228,135,191.3333333,4296615,0.0306,Y,Y
1631107,Miami Heat,Nikola Jovic,150,250,175,191.6666667,2464200,0.0175,,
203935,Washington Wizards,Marcus Smart,195,117,266,192.6666667,20210285,0.1438,,
203500,Houston Rockets,Steven Adams,42,290,251,194.3333333,12600000,0.0896,,
1630631,New Orleans Pelicans,Jose Alvarado,143,198,242,194.3333333,1988598,0.0141,,
203482,New Orleans Pelicans,Kelly Olynyk,155,209,229,197.6666667,12804878,0.0911,,
1630558,Miami Heat,Davion Mitchell,185,164,246,198.3333333,6451230,0.0459,,
1631217,Charlotte Hornets,Moussa Diabate,119,246,234,199.6666667,957763,0.0068,,
1630530,New Orleans Pelicans,Trey Murphy III,247,177,178,200.6666667,5159855,0.0367,,
1630228,Golden State Warriors,Jonathan Kuminga,248,195,165,202.6666667,7636154,0.0543,Y,Y
1631101,Portland Trail Blazers,Shaedon Sharpe,210,237,161,202.6666667,6614160,0.0470,,
1642270,Portland Trail Blazers,Donovan Clingan,279,219,113,203.6666667,6586440,0.0468,,
1628379,Memphis Grizzlies,Luke Kennard,229,226,163,206,9250000,0.0658,,
1642276,Miami Heat,Kel'el Ware,273,238,109,206.6666667,4231800,0.0301,,
201587,Los Angeles Clippers,Nicolas Batum,241,211,170,207.3333333,4668000,0.0332,,
203486,Phoenix Suns,Mason Plumlee,123,374,131,209.3333333,2087519,0.0148,,
1628380,Chicago Bulls,Zach Collins,274,181,174,209.6666667,16741200,0.1191,,
203468,New Orleans Pelicans,CJ McCollum,184,136,312,210.6666667,33333333,0.2371,,
1629674,Boston Celtics,Neemias Queta,145,267,220,210.6666667,2162606,0.0154,,
1629012,Utah Jazz,Collin Sexton,168,163,308,213,18350000,0.1305,,
1629020,Los Angeles Lakers,Jarred Vanderbilt,89,276,275,213.3333333,10714286,0.0762,,
1629312,Miami Heat,Haywood Highsmith,192,236,212,213.3333333,5200000,0.0370,,
1626145,Phoenix Suns,Tyus Jones,328,212,105,215,2087519,0.0148,,
1630167,Indiana Pacers,Obi Toppin,226,318,102,215.3333333,12946429,0.0921,,
203084,San Antonio Spurs,Harrison Barnes,218,175,254,215.6666667,18000000,0.1280,,
1629680,Portland Trail Blazers,Matisse Thybulle,193,161,296,216.6666667,11025160,0.0784,,
1629626,Phoenix Suns,Bol Bol,146,240,265,217,2087519,0.0148,,
203992,Los Angeles Clippers,Bogdan Bogdanovic,152,287,215,218,17260000,0.1228,,
1629628,Toronto Raptors,RJ Barrett,354,158,143,218.3333333,25794643,0.1835,,
203471,Detroit Pistons,Dennis Schröder,390,165,106,220.3333333,13025250,0.0926,,
1627824,Philadelphia 76ers,Guerschon Yabusele,207,186,269,220.6666667,2087519,0.0148,,
1629014,Portland Trail Blazers,Anfernee Simons,363,193,110,222,25892857,0.1842,,
1631204,Detroit Pistons,Marcus Sasser,283,135,249,222.3333333,2755080,0.0196,,
1630551,Washington Wizards,Justin Champagnie,223,183,262,222.6666667,1800000,0.0128,,
1629130,Miami Heat,Duncan Robinson,232,242,198,224,19406000,0.1380,,
1630191,Detroit Pistons,Isaiah Stewart,268,278,133,226.3333333,15000000,0.1067,,
1631218,Golden State Warriors,Trayce Jackson-Davis,267,217,195,226.3333333,1891857,0.0135,,
1627742,Toronto Raptors,Brandon Ingram,171,168,342,227,36016200,0.2562,,
1630539,Dallas Mavericks,Kai Jones,209,182,291,227.3333333,2196970,0.0156,,
1630577,San Antonio Spurs,Julian Champagnie,191,271,222,228,3000000,0.0213,,
1631109,Charlotte Hornets,Mark Williams,317,243,125,228.3333333,4094280,0.0291,,
1642377,Memphis Grizzlies,Jaylen Wells,376,108,202,228.6666667,1157153,0.0082,,
1629028,Portland Trail Blazers,Deandre Ayton,285,234,177,232,34005126,0.2419,Y,
202685,Sacramento Kings,Jonas Valanciunas,234,362,100,232,9900000,0.0704,,
1630529,New Orleans Pelicans,Herbert Jones,72,227,398,232.3333333,12976362,0.0923,,
1630230,Dallas Mavericks,Naji Marshall,292,235,171,232.6666667,8571429,0.0610,,
1630256,Houston Rockets,Jae’Sean Tate,187,170,345,234,7565217,0.0538,,
1641715,Houston Rockets,Cam Whitmore,239,221,243,234.3333333,3379080,0.0240,,
203937,Miami Heat,Kyle Anderson,251,262,192,235,8780488,0.0625,,
1629673,Washington Wizards,Jordan Poole,288,146,272,235.3333333,29651786,0.2109,,
1628988,Houston Rockets,Aaron Holiday,203,208,303,238,4668000,0.0332,,
1630215,Philadelphia 76ers,Jared Butler,265,231,218,238,745726,0.0053,,
1631157,Milwaukee Bucks,Ryan Rollins,244,213,258,238.3333333,491887,0.0035,,
1627749,New Orleans Pelicans,Dejounte Murray,311,222,184,239,29535801,0.2101,,
1629723,Memphis Grizzlies,John Konchar,198,241,289,242.6666667,6165000,0.0439,,
1628420,Phoenix Suns,Monte Morris,165,281,282,242.6666667,2087519,0.0148,,
1630611,Golden State Warriors,Gui Santos,237,187,305,243,1891857,0.0135,,
1630170,San Antonio Spurs,Devin Vassell,324,244,164,244,29347826,0.2088,,
1626168,Sacramento Kings,Trey Lyles,242,353,140,245,8000000,0.0569,,
1629001,Brooklyn Nets,De'Anthony Melton,147,150,443,246.6666667,12822000,0.0912,,
1641706,Charlotte Hornets,Brandon Miller,393,86,261,246.6666667,11424600,0.0813,,
1642366,Golden State Warriors,Quinten Post,322,166,253,247,438920,0.0031,,
1629659,Chicago Bulls,Talen Horton-Tucker,213,270,260,247.6666667,2087519,0.0148,,
203501,Detroit Pistons,Tim Hardaway Jr.,300,264,181,248.3333333,16193183,0.1152,,
203078,Phoenix Suns,Bradley Beal,314,260,173,249,50203930,0.3571,Y,Y
1628975,Chicago Bulls,Jevon Carter,164,257,326,249,6500000,0.0462,,
1641710,Orlando Magic,Anthony Black,254,335,160,249.6666667,7607760,0.0541,,
1631222,Sacramento Kings,Jake LaRavia,280,268,203,250.3333333,3352680,0.0238,,
1631169,Minnesota Timberwolves,Josh Minott,80,307,373,253.3333333,2019699,0.0144,,
1629162,San Antonio Spurs,Jordan McLaughlin,95,325,344,254.6666667,2087519,0.0148,,
1631110,San Antonio Spurs,Jeremy Sochan,380,149,236,255,5570040,0.0396,,
1631260,Milwaukee Bucks,AJ Green,310,223,232,255,2120693,0.0151,,
201566,Denver Nuggets,Russell Westbrook,385,280,103,256,3303771,0.0235,,
1629750,Cleveland Cavaliers,Javonte Green,111,337,320,256,599862,0.0043,,
1628998,Phoenix Suns,Cody Martin,245,279,245,256.3333333,8120000,0.0578,,
1628418,Indiana Pacers,Thomas Bryant,297,284,189,256.6666667,2087519,0.0148,,
1630533,Brooklyn Nets,Ziaire Williams,289,258,230,259,6133005,0.0436,,
201567,Miami Heat,Kevin Love,350,143,300,264.3333333,3850000,0.0274,,
203939,Dallas Mavericks,Dwight Powell,69,410,317,265.3333333,4000000,0.0285,,
1628963,Memphis Grizzlies,Marvin Bagley III,216,230,352,266,12500000,0.0889,,
1627777,Atlanta Hawks,Georges Niang,286,296,224,268.6666667,8500000,0.0605,,
1627732,Los Angeles Clippers,Ben Simmons,277,291,239,269,755826,0.0054,,
1626162,Philadelphia 76ers,Kelly Oubre Jr.,306,245,257,269.3333333,7983000,0.0568,,
1631097,Indiana Pacers,Bennedict Mathurin,368,288,152,269.3333333,7245720,0.0515,,
203957,Dallas Mavericks,Dante Exum,177,247,384,269.3333333,3150000,0.0224,,
1628396,Indiana Pacers,Tony Bradley,141,225,442,269.3333333,330394,0.0024,,
1629726,Atlanta Hawks,Garrison Mathews,253,300,256,269.6666667,2230253,0.0159,,
203915,Dallas Mavericks,Spencer Dinwiddie,355,313,141,269.6666667,2087519,0.0148,,
1631093,Detroit Pistons,Jaden Ivey,308,232,273,271,7977240,0.0567,,
1641824,Chicago Bulls,Matas Buzelis,255,376,187,272.6666667,5195520,0.0370,,
1631170,Miami Heat,Jaime Jaquez Jr.,250,388,183,273.6666667,3685800,0.0262,,
1642264,San Antonio Spurs,Stephon Castle,299,286,238,274.3333333,9131760,0.0650,,
1627752,Milwaukee Bucks,Taurean Prince,305,319,205,276.3333333,2087519,0.0148,,
1631248,Boston Celtics,Baylor Scheierman,281,214,335,276.6666667,2494320,0.0177,,
1626204,Atlanta Hawks,Larry Nance Jr.,257,299,280,278.6666667,11205000,0.0797,,
1631116,Los Angeles Clippers,Patrick Baldwin Jr.,221,178,437,278.6666667,2448840,0.0174,,
1631133,Portland Trail Blazers,Jabari Walker,365,210,263,279.3333333,2019699,0.0144,,
203914,Orlando Magic,Gary Harris,126,275,440,280.3333333,6730769,0.0479,,
1629651,Brooklyn Nets,Nic Claxton,323,371,151,281.6666667,27556817,0.1960,,
1642261,Los Angeles Lakers,Dalton Knecht,298,341,211,283.3333333,3819120,0.0272,,
203083,Philadelphia 76ers,Andre Drummond,294,304,259,285.6666667,5000000,0.0356,,
1630543,Indiana Pacers,Isaiah Jackson,110,289,458,285.6666667,4435381,0.0315,,
1641796,Miami Heat,Pelle Larsson,252,317,290,286.3333333,1157143,0.0082,,
1630568,Minnesota Timberwolves,Luka Garza,220,233,412,288.3333333,2162606,0.0154,,
203924,Portland Trail Blazers,Jerami Grant,422,253,196,290.3333333,29793104,0.2119,,
1642382,Oklahoma City Thunder,Branden Carlson,369,139,366,291.3333333,990895,0.0070,,
1630625,Portland Trail Blazers,Dalano Banton,372,302,208,294,2196970,0.0156,,
1641842,Detroit Pistons,Ronald Holland II,303,366,221,296.6666667,8245320,0.0586,,
1642271,Utah Jazz,Kyle Filipowski,262,408,227,299,3000000,0.0213,,
1641871,Portland Trail Blazers,Duop Reath,287,303,307,299,2048780,0.0146,,
1629684,Charlotte Hornets,Grant Williams,205,340,353,299.3333333,13025250,0.0926,,
1642272,Philadelphia 76ers,Jared McCain,361,189,354,301.3333333,4032240,0.0287,,
1631108,Dallas Mavericks,Max Christie,336,359,214,303,7142857,0.0508,,
1642269,Sacramento Kings,Devin Carter,293,323,295,303.6666667,4702800,0.0335,,
1630703,Portland Trail Blazers,Scoot Henderson,383,339,191,304.3333333,10259160,0.0730,,
1641740,Minnesota Timberwolves,Jaylen Clark,367,197,358,307.3333333,429323,0.0031,,
1642345,Phoenix Suns,Oso Ighodaro,233,407,284,308,1157153,0.0082,,
1642346,Phoenix Suns,Ryan Dunn,452,265,209,308.6666667,2538240,0.0181,,
1630322,Detroit Pistons,Lindy Waters III,269,365,293,309,2196970,0.0156,,
1630531,Utah Jazz,Jaden Springer,236,364,333,311,634437,0.0045,,
1630173,New York Knicks,Precious Achiuwa,356,369,213,312.6666667,6000000,0.0427,,
1630692,Los Angeles Lakers,Jordan Goodwin,259,378,301,312.6666667,223718,0.0016,,
1641763,Chicago Bulls,Julian Phillips,302,356,286,314.6666667,1891857,0.0135,,
1626153,New York Knicks,Delon Wright,240,397,313,316.6666667,2087519,0.0148,,
1630245,Chicago Bulls,Ayo Dosunmu,335,391,225,317,7000000,0.0498,,
1642278,New York Knicks,Tyler Kolek,204,389,365,319.3333333,2087519,0.0148,,
1629611,Atlanta Hawks,Terance Mann,362,345,252,319.6666667,11423077,0.0813,,
1641737,Philadelphia 76ers,Adem Bona,278,411,274,321,1157153,0.0082,,
1641729,Utah Jazz,Brice Sensabaugh,304,305,357,322,2571480,0.0183,,
1630570,Brooklyn Nets,Trendon Watford,360,277,330,322.3333333,2726603,0.0194,,
203903,Utah Jazz,Jordan Clarkson,423,301,244,322.6666667,14092577,0.1002,,
1629111,Houston Rockets,Jock Landale,230,396,350,325.3333333,8000000,0.0569,,
1627763,Washington Wizards,Malcolm Brogdon,401,295,281,325.6666667,22500000,0.1600,,
1630205,Memphis Grizzlies,Lamar Stevens,243,316,419,326,383912,0.0027,,
1630534,Toronto Raptors,Ochai Agbaji,353,248,379,326.6666667,4310280,0.0307,,
1630208,Phoenix Suns,Nick Richards,387,395,201,327.6666667,5000000,0.0356,,
1642266,Toronto Raptors,Ja'Kobe Walter,313,324,347,328,3565000,0.0254,,
