RK,NAME,TEAM,SALARY
261,Jalen Johnson,Atlanta Hawks,4510905
262,Bub Carrington,Washington Wizards,4454880
263,Isaiah Jackson,Indiana Pacers,4435381
264,Nickeil Alexander-Walker,Minnesota Timberwolves,4312500
265,Ochai Agbaji,Toronto Raptors,4310280
266,Kobe Bufkin,Atlanta Hawks,4299000
267,Quentin Grimes,Philadelphia 76ers,4296615
268,Kel'el Ware,Miami Heat,4231800
269,Bones Hyland,Minnesota Timberwolves,4158439
270,Mark Williams,Charlotte Hornets,4094280
271,Keyonte George,Utah Jazz,4084200
272,Cam Thomas,Brooklyn Nets,4041249
273,Jared McCain,Philadelphia 76ers,4032240
274,Dwight Powell,Dallas Mavericks,4000000
275,Day'Ron Sharpe,Brooklyn Nets,3989122
276,Santi Aldama,Memphis Grizzlies,3960531
277,Amir Coffey,LA Clippers,3938271
278,AJ Griffin,Houston Rockets,3889920
279,Jalen Hood-Schifino,Philadelphia 76ers,3879840
280,Kevin Love,Miami Heat,3850000
281,Dalton Knecht,Los Angeles Lakers,3819120
282,Tari Eason,Houston Rockets,3695160
283,Jaime Jaquez Jr.,Miami Heat,3685800
284,Tristan da Silva,Orlando Magic,3628440
285,Ja'Kobe Walter,Toronto Raptors,3565000
286,Brandin Podziemski,Golden State Warriors,3519960
287,Dalen Terry,Chicago Bulls,3510480
288,Svi Mykhailiuk,Utah Jazz,3500000
289,Cody Zeller,Houston Rockets,3500000
290,Cam Whitmore,Houston Rockets,3379080
291,Derrick Rose,Memphis Grizzlies,3356271
292,Jake LaRavia,Sacramento Kings,3352680
293,Jaylon Tyson,Cleveland Cavaliers,3326160
294,Eric Gordon,Philadelphia 76ers,3303771
295,Cory Joseph,Orlando Magic,3303771
296,Russell Westbrook,Denver Nuggets,3303771
297,Noah Clowney,Brooklyn Nets,3244080
298,Malaki Branham,San Antonio Spurs,3217920
299,Yves Missi,New Orleans Pelicans,3202560
300,Dante Exum,Dallas Mavericks,3150000
301,Dariq Whitehead,Brooklyn Nets,3114240
302,Christian Braun,Denver Nuggets,3089640
303,Johnny Juzang,Utah Jazz,3087519
304,DaRon Holmes II,Denver Nuggets,3065640
305,Josh Richardson,Miami Heat,3051153
306,Christian Wood,Los Angeles Lakers,3036040
307,Kyle Filipowski,Utah Jazz,3000000
308,Ajay Mitchell,Oklahoma City Thunder,3000000
309,Julian Champagnie,San Antonio Spurs,3000000
310,Kris Murray,Portland Trail Blazers,2990040
311,Walker Kessler,Utah Jazz,2965920
312,Shake Milton,Los Angeles Lakers,2875000
313,Olivier-Maxence Prosper,Dallas Mavericks,2869920
314,David Roddy,Houston Rockets,2847240
315,Torrey Craig,Boston Celtics,2845342
316,Kyshawn George,Washington Wizards,2825520
317,AJ Johnson,Washington Wizards,2795294
318,Marcus Sasser,Detroit Pistons,2755080
319,MarJon Beauchamp,New York Knicks,2733720
320,Trendon Watford,Brooklyn Nets,2726603
321,Ben Sheppard,Indiana Pacers,2663880
322,Omer Yurtseven,Utah Jazz,2660000
323,Keita Bates-Diop,Minnesota Timberwolves,2654644
324,Blake Wesley,San Antonio Spurs,2624280
325,Dillon Jones,Oklahoma City Thunder,2622360
326,Nick Smith Jr.,Charlotte Hornets,2587200
327,Brice Sensabaugh,Utah Jazz,2571480
328,Ty Jerome,Cleveland Cavaliers,2560975
329,Julian Strawther,Denver Nuggets,2552520
330,Terrence Shannon Jr.,Minnesota Timberwolves,2546640
331,Ryan Dunn,Phoenix Suns,2538240
332,Wendell Moore Jr.,Charlotte Hornets,2537040
333,Kobe Brown,LA Clippers,2533920
334,Isaiah Collier,Utah Jazz,2520120
335,Baylor Scheierman,Boston Celtics,2494320
336,Nikola Jovic,Miami Heat,2464200
337,Darius Bazley,Utah Jazz,2463946
338,Jaxson Hayes,Los Angeles Lakers,2463946
339,Cam Reddish,Los Angeles Lakers,2463946
340,Patrick Baldwin Jr.,LA Clippers,2448840
341,DaQuan Jeffries,Charlotte Hornets,2425204
342,Tristan Vukcevic,Washington Wizards,2424892
343,Peyton Watson,Denver Nuggets,2413560
344,Aleksej Pokusevski,Charlotte Hornets,2273252
345,Mamadi Diakite,Phoenix Suns,2273252
346,Charlie Brown Jr.,Charlotte Hornets,2237692
347,James Wiseman,Indiana Pacers,2237691
348,Anthony Gill,Washington Wizards,2237691
349,Kevin Porter Jr.,Milwaukee Bucks,2237691
350,Xavier Tillman,Boston Celtics,2237691
351,Garrison Mathews,Atlanta Hawks,2230253
352,Eugene Omoruyi,Toronto Raptors,2196970
353,Dalano Banton,Portland Trail Blazers,2196970
354,Jeff Dowtin Jr.,Philadelphia 76ers,2196970
355,Lindy Waters III,Detroit Pistons,2196970
356,Kai Jones,Dallas Mavericks,2196970
357,Jeremiah Robinson-Earl,New Orleans Pelicans,2196970
358,Sam Merrill,Cleveland Cavaliers,2164993
359,Duane Washington Jr.,Charlotte Hornets,2162607
360,Keon Johnson,Brooklyn Nets,2162606
361,Luka Garza,Minnesota Timberwolves,2162606
362,Neemias Queta,Boston Celtics,2162606
363,Vit Krejci,Atlanta Hawks,2162606
364,Vince Williams Jr.,Memphis Grizzlies,2120693
365,A.J. Lawson,Toronto Raptors,2120693
366,Colby Jones,Washington Wizards,2120693
367,Keon Ellis,Sacramento Kings,2120693
368,Kendall Brown,Brooklyn Nets,2120693
369,AJ Green,Milwaukee Bucks,2120693
370,Stanley Umude,Milwaukee Bucks,2120693
371,E.J. Liddell,Chicago Bulls,2120693
372,Jericho Sims,Milwaukee Bucks,2092344
373,Sam Hauser,Boston Celtics,2092344
374,Jay Huff,Memphis Grizzlies,2088033
375,Seth Curry,Charlotte Hornets,2087519
376,Taj Gibson,Charlotte Hornets,2087519
377,Scotty Pippen Jr.,Memphis Grizzlies,2087519
378,Bruno Fernando,Toronto Raptors,2087519
379,Garrett Temple,Toronto Raptors,2087519
380,Reggie Jackson,Philadelphia 76ers,2087519
381,Daniel Theis,New Orleans Pelicans,2087519
382,Charles Bassey,San Antonio Spurs,2087519
383,Sandro Mamukelashvili,San Antonio Spurs,2087519
384,Jordan McLaughlin,San Antonio Spurs,2087519
385,Doug McDermott,Sacramento Kings,2087519
386,Bol Bol,Phoenix Suns,2087519
387,Tyus Jones,Phoenix Suns,2087519
388,Monte Morris,Phoenix Suns,2087519
389,Damion Lee,Phoenix Suns,2087519
390,Mason Plumlee,Phoenix Suns,2087519
391,Guerschon Yabusele,Philadelphia 76ers,2087519
392,Kyle Lowry,Philadelphia 76ers,2087519
393,Tyler Kolek,New York Knicks,2087519
394,Delon Wright,New York Knicks,2087519
395,Cameron Payne,New York Knicks,2087519
396,PJ Dozier,Minnesota Timberwolves,2087519
397,Joe Ingles,Minnesota Timberwolves,2087519
398,Gary Trent Jr.,Milwaukee Bucks,2087519
399,Taurean Prince,Milwaukee Bucks,2087519
400,Alec Burks,Miami Heat,2087519
401,Markieff Morris,Los Angeles Lakers,2087519
402,Patty Mills,LA Clippers,2087519
403,Thomas Bryant,Indiana Pacers,2087519
404,James Johnson,Indiana Pacers,2087519
405,Vlatko Cancar,Denver Nuggets,2087519
406,DeAndre Jordan,Denver Nuggets,2087519
407,Spencer Dinwiddie,Dallas Mavericks,2087519
408,Tristan Thompson,Cleveland Cavaliers,2087519
409,Talen Horton-Tucker,Chicago Bulls,2087519
410,Mo Bamba,New Orleans Pelicans,2087519
411,Luke Kornet,Boston Celtics,2087519
412,Duop Reath,Portland Trail Blazers,2048780
413,Jaylin Williams,Oklahoma City Thunder,2019699
414,Bryce McGowens,Portland Trail Blazers,2019699
415,Jabari Walker,Portland Trail Blazers,2019699
416,Josh Minott,Minnesota Timberwolves,2019699
417,Andrew Nembhard,Indiana Pacers,2019699
418,Jaden Hardy,Dallas Mavericks,2019699
419,Caleb Houstan,Orlando Magic,2019693
420,JT Thor,Washington Wizards,1988598
421,Jose Alvarado,New Orleans Pelicans,1988598
422,Matt Ryan,New York Knicks,1919558
423,Mouhamed Gueye,Atlanta Hawks,1891858
424,GG Jackson,Memphis Grizzlies,1891857
425,Javon Freeman-Liberty,Toronto Raptors,1891857
426,Rayan Rupert,Portland Trail Blazers,1891857
427,Sidy Cissoko,Portland Trail Blazers,1891857
428,Toumani Camara,Portland Trail Blazers,1891857
429,Ricky Council IV,Philadelphia 76ers,1891857
430,Maxwell Lewis,Brooklyn Nets,1891857
431,Jalen Wilson,Brooklyn Nets,1891857
432,Leonard Miller,Minnesota Timberwolves,1891857
433,Chris Livingston,Milwaukee Bucks,1891857
434,Andre Jackson Jr.,Milwaukee Bucks,1891857
435,Gui Santos,Golden State Warriors,1891857
436,Trayce Jackson-Davis,Golden State Warriors,1891857
437,Jalen Pickett,Denver Nuggets,1891857
438,Hunter Tyson,Denver Nuggets,1891857
439,Craig Porter Jr.,Cleveland Cavaliers,1891857
440,Julian Phillips,Chicago Bulls,1891857
441,Onuralp Bitim,Chicago Bulls,1891857
442,Jordan Walsh,Boston Celtics,1891857
443,Jonathan Mogbo,Toronto Raptors,1862265
444,Jamal Shead,Toronto Raptors,1862265
445,Johnny Furphy,Indiana Pacers,1850842
446,Pacome Dadiet,New York Knicks,1808080
447,Justin Champagnie,Washington Wizards,1800000
448,Jae Crowder,Sacramento Kings,1655619
449,Paul Reed,Detroit Pistons,1427671
450,Karlo Matkovic,New Orleans Pelicans,1407153
451,Landry Shamet,New York Knicks,1343690
452,Bobi Klintman,Detroit Pistons,1257153
453,Jaylen Wells,Memphis Grizzlies,1157153
454,Oso Ighodaro,Phoenix Suns,1157153
455,Adem Bona,Philadelphia 76ers,1157153
456,Tyler Smith,Milwaukee Bucks,1157153
457,Bronny James,Los Angeles Lakers,1157153
458,Cam Christie,LA Clippers,1157153
459,Antonio Reeves,New Orleans Pelicans,1157153
460,Pelle Larsson,Miami Heat,1157143
461,Ariel Hukporti,New York Knicks,1064558
462,Jordan Miller,LA Clippers,1050000
463,Jamison Battle,Toronto Raptors,1000000
464,Branden Carlson,Oklahoma City Thunder,990895
465,Moussa Diabate,Charlotte Hornets,957763
466,Lonnie Walker IV,Philadelphia 76ers,780932
467,Ben Simmons,LA Clippers,755826
468,Jared Butler,Philadelphia 76ers,745726
469,Alex Len,Los Angeles Lakers,743829
470,Markelle Fultz,Sacramento Kings,731831
471,Keshad Johnson,Miami Heat,724883
472,Tyrese Martin,Brooklyn Nets,635853
473,Jaden Springer,Utah Jazz,634437
474,Javonte Green,Cleveland Cavaliers,599862
475,Brandon Boston,New Orleans Pelicans,596581
476,Nate Williams,Houston Rockets,515881
477,Bismack Biyombo,San Antonio Spurs,503884
478,Orlando Robinson,Toronto Raptors,491887
479,Ryan Rollins,Milwaukee Bucks,491887
480,Dominick Barlow,Atlanta Hawks,491887
481,Quinten Post,Golden State Warriors,438920
482,Pat Spencer,Golden State Warriors,438810
483,Jaylen Clark,Minnesota Timberwolves,429323
484,Justin Edwards,Philadelphia 76ers,425619
485,Lamar Stevens,Memphis Grizzlies,383912
486,Tony Bradley,Indiana Pacers,330394
487,Kevin Knox II,Golden State Warriors,263939
488,P.J. Tucker,New York Knicks,246833
489,Jordan Goodwin,Los Angeles Lakers,223718
490,Isaac Jones,Sacramento Kings,152957
491,Drew Timme,Brooklyn Nets,113055
